"Step","stairs_pose_net_effb0 - epoch/test_loss","stairs_pose_net_effb0 - epoch/test_loss__MIN","stairs_pose_net_effb0 - epoch/test_loss__MAX","pumpkin_pose_net_effb0 - epoch/test_loss","pumpkin_pose_net_effb0 - epoch/test_loss__MIN","pumpkin_pose_net_effb0 - epoch/test_loss__MAX","office_pose_net_effb0 - epoch/test_loss","office_pose_net_effb0 - epoch/test_loss__MIN","office_pose_net_effb0 - epoch/test_loss__MAX","heads_pose_net_effb0 - epoch/test_loss","heads_pose_net_effb0 - epoch/test_loss__MIN","heads_pose_net_effb0 - epoch/test_loss__MAX","fire_pose_net_effb0 - epoch/test_loss","fire_pose_net_effb0 - epoch/test_loss__MIN","fire_pose_net_effb0 - epoch/test_loss__MAX","chess_pose_net_effb0 - epoch/test_loss","chess_pose_net_effb0 - epoch/test_loss__MIN","chess_pose_net_effb0 - epoch/test_loss__MAX"
"45","4.781857550144196","4.781857550144196","4.781857550144196","6.543224900960922","6.543224900960922","6.543224900960922","17.163594290614128","17.163594290614128","17.163594290614128","6.0106900334358215","6.0106900334358215","6.0106900334358215","12.750116914510727","12.750116914510727","12.750116914510727","5.80519263446331","5.80519263446331","5.80519263446331"
"46","4.789875790476799","4.789875790476799","4.789875790476799","6.490488335490227","6.490488335490227","6.490488335490227","16.946186639368534","16.946186639368534","16.946186639368534","5.989791050553322","5.989791050553322","5.989791050553322","12.848640203475952","12.848640203475952","12.848640203475952","5.686754636466503","5.686754636466503","5.686754636466503"
"47","4.773504853248596","4.773504853248596","4.773504853248596","6.528188988566399","6.528188988566399","6.528188988566399","16.938348032534122","16.938348032534122","16.938348032534122","5.952076822519302","5.952076822519302","5.952076822519302","12.973503589630127","12.973503589630127","12.973503589630127","5.5843201875686646","5.5843201875686646","5.5843201875686646"
"48","4.785352870821953","4.785352870821953","4.785352870821953","6.49609088152647","6.49609088152647","6.49609088152647","17.005115494132042","17.005115494132042","17.005115494132042","5.924933597445488","5.924933597445488","5.924933597445488","13.076449900865555","13.076449900865555","13.076449900865555","5.488864302635193","5.488864302635193","5.488864302635193"
"49","4.7971814423799515","4.7971814423799515","4.7971814423799515","6.489054463803768","6.489054463803768","6.489054463803768","16.851911962032318","16.851911962032318","16.851911962032318","5.914748102426529","5.914748102426529","5.914748102426529","13.229507252573967","13.229507252573967","13.229507252573967","5.410894311964512","5.410894311964512","5.410894311964512"
"50","4.804121613502502","4.804121613502502","4.804121613502502","6.455494903028011","6.455494903028011","6.455494903028011","16.274699740111828","16.274699740111828","16.274699740111828","5.906655415892601","5.906655415892601","5.906655415892601","13.334125742316246","13.334125742316246","13.334125742316246","5.322524532675743","5.322524532675743","5.322524532675743"
"51","4.836143717169762","4.836143717169762","4.836143717169762","6.439832963049412","6.439832963049412","6.439832963049412","16.268129229545593","16.268129229545593","16.268129229545593","5.886430352926254","5.886430352926254","5.886430352926254","13.299443453550339","13.299443453550339","13.299443453550339","5.238457687199116","5.238457687199116","5.238457687199116"
"52","4.888247460126877","4.888247460126877","4.888247460126877","6.420644208788872","6.420644208788872","6.420644208788872","16.101779751479626","16.101779751479626","16.101779751479626","5.85889932513237","5.85889932513237","5.85889932513237","13.317576214671135","13.317576214671135","13.317576214671135","5.18604576587677","5.18604576587677","5.18604576587677"
"53","4.874514952301979","4.874514952301979","4.874514952301979","6.463460452854633","6.463460452854633","6.463460452854633","15.821537800133228","15.821537800133228","15.821537800133228","5.827498823404312","5.827498823404312","5.827498823404312","13.35558757185936","13.35558757185936","13.35558757185936","5.115370124578476","5.115370124578476","5.115370124578476"
"54","4.908684879541397","4.908684879541397","4.908684879541397","6.466099426150322","6.466099426150322","6.466099426150322","15.690065808594227","15.690065808594227","15.690065808594227","5.803083807229996","5.803083807229996","5.803083807229996","13.323725476861","13.323725476861","13.323725476861","5.0549600794911385","5.0549600794911385","5.0549600794911385"
