"Step","stairs_pose_net_g - epoch/test_loss","stairs_pose_net_g - epoch/test_loss__MIN","stairs_pose_net_g - epoch/test_loss__MAX","pumpkin_pose_net_g - epoch/test_loss","pumpkin_pose_net_g - epoch/test_loss__MIN","pumpkin_pose_net_g - epoch/test_loss__MAX","office_pose_net_g - epoch/test_loss","office_pose_net_g - epoch/test_loss__MIN","office_pose_net_g - epoch/test_loss__MAX","heads_pose_net_g - epoch/test_loss","heads_pose_net_g - epoch/test_loss__MIN","heads_pose_net_g - epoch/test_loss__MAX","fire_pose_net_g - epoch/test_loss","fire_pose_net_g - epoch/test_loss__MIN","fire_pose_net_g - epoch/test_loss__MAX","chess_pose_net_g - epoch/test_loss","chess_pose_net_g - epoch/test_loss__MIN","chess_pose_net_g - epoch/test_loss__MAX"
"30","7.08426970243454","7.08426970243454","7.08426970243454","11.400810774415731","11.400810774415731","11.400810774415731","28.886206284165382","28.886206284165382","28.886206284165382","7.295419320464134","7.295419320464134","7.295419320464134","19.618813537061214","19.618813537061214","19.618813537061214","9.250674165785313","9.250674165785313","9.250674165785313"
"31","7.073555842041969","7.073555842041969","7.073555842041969","11.319570440798998","11.319570440798998","11.319570440798998","28.856074035167694","28.856074035167694","28.856074035167694","7.286867842078209","7.286867842078209","7.286867842078209","19.57966659218073","19.57966659218073","19.57966659218073","9.228382848203182","9.228382848203182","9.228382848203182"
"32","7.059020519256592","7.059020519256592","7.059020519256592","11.23711609840393","11.23711609840393","11.23711609840393","28.823790326714516","28.823790326714516","28.823790326714516","7.278104931116104","7.278104931116104","7.278104931116104","19.53618062287569","19.53618062287569","19.53618062287569","9.205309510231018","9.205309510231018","9.205309510231018"
"33","7.046904340386391","7.046904340386391","7.046904340386391","11.150821097195148","11.150821097195148","11.150821097195148","28.790554866194725","28.790554866194725","28.790554866194725","7.269967317581177","7.269967317581177","7.269967317581177","19.48895165324211","19.48895165324211","19.48895165324211","9.183839984238148","9.183839984238148","9.183839984238148"
"34","7.035550802946091","7.035550802946091","7.035550802946091","11.062818761914968","11.062818761914968","11.062818761914968","28.753727331757545","28.753727331757545","28.753727331757545","7.2620288878679276","7.2620288878679276","7.2620288878679276","19.44406920671463","19.44406920671463","19.44406920671463","9.161248311400414","9.161248311400414","9.161248311400414"
"35","7.02634009718895","7.02634009718895","7.02634009718895","10.978165127336979","10.978165127336979","10.978165127336979","28.716661646962166","28.716661646962166","28.716661646962166","7.253404945135117","7.253404945135117","7.253404945135117","19.400587275624275","19.400587275624275","19.400587275624275","9.139003492891788","9.139003492891788","9.139003492891788"
"36","7.014733627438545","7.014733627438545","7.014733627438545","10.894462004303932","10.894462004303932","10.894462004303932","28.680120676755905","28.680120676755905","28.680120676755905","7.244419574737549","7.244419574737549","7.244419574737549","19.356696888804436","19.356696888804436","19.356696888804436","9.114879004657269","9.114879004657269","9.114879004657269"
"37","7.003910005092621","7.003910005092621","7.003910005092621","10.811145305633545","10.811145305633545","10.811145305633545","28.64196115732193","28.64196115732193","28.64196115732193","7.2351521253585815","7.2351521253585815","7.2351521253585815","19.309491142630577","19.309491142630577","19.309491142630577","9.089394330978394","9.089394330978394","9.089394330978394"
"38","6.993045434355736","6.993045434355736","6.993045434355736","10.717556945979595","10.717556945979595","10.717556945979595","28.60019351541996","28.60019351541996","28.60019351541996","7.2260522544384","7.2260522544384","7.2260522544384","19.265650242567062","19.265650242567062","19.265650242567062","9.06408467143774","9.06408467143774","9.06408467143774"
"39","6.980507716536522","6.980507716536522","6.980507716536522","10.634655684232712","10.634655684232712","10.634655684232712","28.558641955256462","28.558641955256462","28.558641955256462","7.2166818380355835","7.2166818380355835","7.2166818380355835","19.211561232805252","19.211561232805252","19.211561232805252","9.039700008928776","9.039700008928776","9.039700008928776"
"40","6.9720054268836975","6.9720054268836975","6.9720054268836975","10.531079560518265","10.531079560518265","10.531079560518265","28.518200397491455","28.518200397491455","28.518200397491455","7.2087737917900085","7.2087737917900085","7.2087737917900085","19.161610148847103","19.161610148847103","19.161610148847103","9.013213098049164","9.013213098049164","9.013213098049164"
