"Step","stairs_pose_net_mobv3l - epoch/test_translation_loss","stairs_pose_net_mobv3l - epoch/test_translation_loss__MIN","stairs_pose_net_mobv3l - epoch/test_translation_loss__MAX","pumpkin_pose_net_mobv3l - epoch/test_translation_loss","pumpkin_pose_net_mobv3l - epoch/test_translation_loss__MIN","pumpkin_pose_net_mobv3l - epoch/test_translation_loss__MAX","office_pose_net_mobv3l - epoch/test_translation_loss","office_pose_net_mobv3l - epoch/test_translation_loss__MIN","office_pose_net_mobv3l - epoch/test_translation_loss__MAX","heads_pose_net_mobv3l - epoch/test_translation_loss","heads_pose_net_mobv3l - epoch/test_translation_loss__MIN","heads_pose_net_mobv3l - epoch/test_translation_loss__MAX","fire_pose_net_mobv3l - epoch/test_translation_loss","fire_pose_net_mobv3l - epoch/test_translation_loss__MIN","fire_pose_net_mobv3l - epoch/test_translation_loss__MAX","chess_pose_net_mobv3l - epoch/test_translation_loss","chess_pose_net_mobv3l - epoch/test_translation_loss__MIN","chess_pose_net_mobv3l - epoch/test_translation_loss__MAX"
"37","0.3505292795598507","0.3505292795598507","0.3505292795598507","0.27609665552154183","0.27609665552154183","0.27609665552154183","0.322125835577026","0.322125835577026","0.322125835577026","0.1047129649668932","0.1047129649668932","0.1047129649668932","0.25149910617619753","0.25149910617619753","0.25149910617619753","0.23889380786567926","0.23889380786567926","0.23889380786567926"
"38","0.34827290568500757","0.34827290568500757","0.34827290568500757","0.2762603161390871","0.2762603161390871","0.2762603161390871","0.3231875034980476","0.3231875034980476","0.3231875034980476","0.10407435894012451","0.10407435894012451","0.10407435894012451","0.2514837442431599","0.2514837442431599","0.2514837442431599","0.2388917738571763","0.2388917738571763","0.2388917738571763"
"39","0.34711618162691593","0.34711618162691593","0.34711618162691593","0.27621235232800245","0.27621235232800245","0.27621235232800245","0.3245432013645768","0.3245432013645768","0.3245432013645768","0.10346654057502747","0.10346654057502747","0.10346654057502747","0.25138664548285306","0.25138664548285306","0.25138664548285306","0.23880552034825087","0.23880552034825087","0.23880552034825087"
"40","0.3468492217361927","0.3468492217361927","0.3468492217361927","0.27666801353916526","0.27666801353916526","0.27666801353916526","0.32615115074440837","0.32615115074440837","0.32615115074440837","0.10287647508084774","0.10287647508084774","0.10287647508084774","0.25137475784868","0.25137475784868","0.25137475784868","0.2388911684975028","0.2388911684975028","0.2388911684975028"
"41","0.3463451722636819","0.3463451722636819","0.3463451722636819","0.27700388128869236","0.27700388128869236","0.27700388128869236","0.3277806442929432","0.3277806442929432","0.3277806442929432","0.10231532133184373","0.10231532133184373","0.10231532133184373","0.2515113316476345","0.2515113316476345","0.2515113316476345","0.238824718631804","0.238824718631804","0.238824718631804"
"42","0.34633134957402945","0.34633134957402945","0.34633134957402945","0.27725495281629264","0.27725495281629264","0.27725495281629264","0.3300774780800566","0.3300774780800566","0.3300774780800566","0.10177564760670066","0.10177564760670066","0.10177564760670066","0.2517192754894495","0.2517192754894495","0.2517192754894495","0.23889204394072294","0.23889204394072294","0.23889204394072294"
"43","0.3459009528160095","0.3459009528160095","0.3459009528160095","0.2773213810287416","0.2773213810287416","0.2773213810287416","0.3331366592319682","0.3331366592319682","0.3331366592319682","0.10125140799209476","0.10125140799209476","0.10125140799209476","0.2522019469179213","0.2522019469179213","0.2522019469179213","0.23890902381390333","0.23890902381390333","0.23890902381390333"
"44","0.34622747264802456","0.34622747264802456","0.34622747264802456","0.2776081988122314","0.2776081988122314","0.2776081988122314","0.3401276171207428","0.3401276171207428","0.3401276171207428","0.10075266938656569","0.10075266938656569","0.10075266938656569","0.2524804277345538","0.2524804277345538","0.2524804277345538","0.23897728696465492","0.23897728696465492","0.23897728696465492"
"45","0.3462151922285557","0.3462151922285557","0.3462151922285557","0.2781105814501643","0.2781105814501643","0.2781105814501643","0.3468563467031345","0.3468563467031345","0.3468563467031345","0.10026732017286122","0.10026732017286122","0.10026732017286122","0.2527941195294261","0.2527941195294261","0.2527941195294261","0.23900027945637703","0.23900027945637703","0.23900027945637703"
"46","0.3456166721880436","0.3456166721880436","0.3456166721880436","0.27847059164196253","0.27847059164196253","0.27847059164196253","0.3534727646037936","0.3534727646037936","0.3534727646037936","0.09981812816113234","0.09981812816113234","0.09981812816113234","0.2530156266875565","0.2530156266875565","0.2530156266875565","0.23915224242955446","0.23915224242955446","0.23915224242955446"
"47","0.34492529928684235","0.34492529928684235","0.34492529928684235","0.27855398040264845","0.27855398040264845","0.27855398040264845","0.36263495311141014","0.36263495311141014","0.36263495311141014","0.09938957495614886","0.09938957495614886","0.09938957495614886","0.2534740995615721","0.2534740995615721","0.2534740995615721","0.23927010223269463","0.23927010223269463","0.23927010223269463"
"48","0.34414708241820335","0.34414708241820335","0.34414708241820335","0.278815601952374","0.278815601952374","0.278815601952374","0.37511867191642523","0.37511867191642523","0.37511867191642523","0.09898959193378687","0.09898959193378687","0.09898959193378687","0.2535447892732918","0.2535447892732918","0.2535447892732918","0.23954294621944427","0.23954294621944427","0.23954294621944427"
"49","0.3437345717102289","0.3437345717102289","0.3437345717102289","0.2789829862304032","0.2789829862304032","0.2789829862304032","0.38768474059179425","0.38768474059179425","0.38768474059179425","0.09859258006326854","0.09859258006326854","0.09859258006326854","0.2539583486504853","0.2539583486504853","0.2539583486504853","0.2396547431126237","0.2396547431126237","0.2396547431126237"
"50","0.34354574978351593","0.34354574978351593","0.34354574978351593","0.2791865221224725","0.2791865221224725","0.2791865221224725","0.40526078699622303","0.40526078699622303","0.40526078699622303","0.09820959926582873","0.09820959926582873","0.09820959926582873","0.2546116719022393","0.2546116719022393","0.2546116719022393","0.23990083578974009","0.23990083578974009","0.23990083578974009"
"51","0.34290940780192614","0.34290940780192614","0.34290940780192614","0.2795742347370833","0.2795742347370833","0.2795742347370833","0.4277669172734022","0.4277669172734022","0.4277669172734022","0.09785390435718","0.09785390435718","0.09785390435718","0.25517326733097434","0.25517326733097434","0.25517326733097434","0.24018912948668003","0.24018912948668003","0.24018912948668003"
"52","0.34211422875523567","0.34211422875523567","0.34211422875523567","0.27990116365253925","0.27990116365253925","0.27990116365253925","0.4454248817637563","0.4454248817637563","0.4454248817637563","0.09750775573775172","0.09750775573775172","0.09750775573775172","0.25580921955406666","0.25580921955406666","0.25580921955406666","0.2405089670792222","0.2405089670792222","0.2405089670792222"
