"Step","stairs_pose_net_mobv3s - epoch/test_rotation_loss","stairs_pose_net_mobv3s - epoch/test_rotation_loss__MIN","stairs_pose_net_mobv3s - epoch/test_rotation_loss__MAX","pumpkin_pose_net_mobv3s - epoch/test_rotation_loss","pumpkin_pose_net_mobv3s - epoch/test_rotation_loss__MIN","pumpkin_pose_net_mobv3s - epoch/test_rotation_loss__MAX","office_pose_net_mobv3s - epoch/test_rotation_loss","office_pose_net_mobv3s - epoch/test_rotation_loss__MIN","office_pose_net_mobv3s - epoch/test_rotation_loss__MAX","heads_pose_net_mobv3s - epoch/test_rotation_loss","heads_pose_net_mobv3s - epoch/test_rotation_loss__MIN","heads_pose_net_mobv3s - epoch/test_rotation_loss__MAX","fire_pose_net_mobv3s - epoch/test_rotation_loss","fire_pose_net_mobv3s - epoch/test_rotation_loss__MIN","fire_pose_net_mobv3s - epoch/test_rotation_loss__MAX","chess_pose_net_mobv3s - epoch/test_rotation_loss","chess_pose_net_mobv3s - epoch/test_rotation_loss__MIN","chess_pose_net_mobv3s - epoch/test_rotation_loss__MAX"
"52","0.012202573649119586","0.012202573649119586","0.012202573649119586","0.014972839708207175","0.014972839708207175","0.014972839708207175","0.033068508899305016","0.033068508899305016","0.033068508899305016","0.012969155330210924","0.012969155330210924","0.012969155330210924","0.03397307634440949","0.03397307634440949","0.03397307634440949","0.01726337944273837","0.01726337944273837","0.01726337944273837"
"53","0.012100291904062033","0.012100291904062033","0.012100291904062033","0.014835077468887903","0.014835077468887903","0.014835077468887903","0.029492094152374193","0.029492094152374193","0.029492094152374193","0.012966199195943773","0.012966199195943773","0.012966199195943773","0.03374006599187851","0.03374006599187851","0.03374006599187851","0.01720918036880903","0.01720918036880903","0.01720918036880903"
"54","0.011995608627330512","0.011995608627330512","0.011995608627330512","0.014715368379256688","0.014715368379256688","0.014715368379256688","0.02821301882795524","0.02821301882795524","0.02821301882795524","0.012963497953023762","0.012963497953023762","0.012963497953023762","0.03350527394650271","0.03350527394650271","0.03350527394650271","0.017153154258267023","0.017153154258267023","0.017153154258267023"
"55","0.011882285441970453","0.011882285441970453","0.011882285441970453","0.014615771229728125","0.014615771229728125","0.014615771229728125","0.02866307332442375","0.02866307332442375","0.02866307332442375","0.01295838988153264","0.01295838988153264","0.01295838988153264","0.03326603325695032","0.03326603325695032","0.03326603325695032","0.01709651706914883","0.01709651706914883","0.01709651706914883"
"56","0.011761564732296392","0.011761564732296392","0.011761564732296392","0.014504955004667863","0.014504955004667863","0.014504955004667863","0.02803413492802065","0.02803413492802065","0.02803413492802065","0.012955501908436418","0.012955501908436418","0.012955501908436418","0.03302011065534316","0.03302011065534316","0.03302011065534316","0.017038395584677346","0.017038395584677346","0.017038395584677346"
"57","0.011639878939604387","0.011639878939604387","0.011639878939604387","0.014405766996787861","0.014405766996787861","0.014405766996787861","0.028855984419351444","0.028855984419351444","0.028855984419351444","0.0129475706780795","0.0129475706780795","0.0129475706780795","0.032766377727966756","0.032766377727966756","0.032766377727966756","0.016979187828837894","0.016979187828837894","0.016979187828837894"
"58","0.011508277180837467","0.011508277180837467","0.011508277180837467","0.014310711179859936","0.014310711179859936","0.014310711179859936","0.029976697493111715","0.029976697493111715","0.029976697493111715","0.012939891428686678","0.012939891428686678","0.012939891428686678","0.03250644219224341","0.03250644219224341","0.03250644219224341","0.016918866545893252","0.016918866545893252","0.016918866545893252"
"59","0.0113716880150605","0.0113716880150605","0.0113716880150605","0.014231987050152384","0.014231987050152384","0.014231987050152384","0.031112213546293788","0.031112213546293788","0.031112213546293788","0.012927805597428232","0.012927805597428232","0.012927805597428232","0.032234440826869104","0.032234440826869104","0.032234440826869104","0.016856828748132102","0.016856828748132102","0.016856828748132102"
"60","0.01122769303037785","0.01122769303037785","0.01122769303037785","0.014165401575155556","0.014165401575155556","0.014165401575155556","0.03179740843188483","0.03179740843188483","0.03179740843188483","0.012914409104268998","0.012914409104268998","0.012914409104268998","0.031963592213287484","0.031963592213287484","0.031963592213287484","0.016794976909295656","0.016794976909295656","0.016794976909295656"
"61","0.01107223698636517","0.01107223698636517","0.01107223698636517","0.014114515521214344","0.014114515521214344","0.014114515521214344","0.03214642344391905","0.03214642344391905","0.03214642344391905","0.012906713935080916","0.012906713935080916","0.012906713935080916","0.03169103687105235","0.03169103687105235","0.03169103687105235","0.01673205039696768","0.01673205039696768","0.01673205039696768"
