"Step","stairs_pose_net_g - epoch/test_rotation_loss","stairs_pose_net_g - epoch/test_rotation_loss__MIN","stairs_pose_net_g - epoch/test_rotation_loss__MAX","pumpkin_pose_net_g - epoch/test_rotation_loss","pumpkin_pose_net_g - epoch/test_rotation_loss__MIN","pumpkin_pose_net_g - epoch/test_rotation_loss__MAX","office_pose_net_g - epoch/test_rotation_loss","office_pose_net_g - epoch/test_rotation_loss__MIN","office_pose_net_g - epoch/test_rotation_loss__MAX","heads_pose_net_g - epoch/test_rotation_loss","heads_pose_net_g - epoch/test_rotation_loss__MIN","heads_pose_net_g - epoch/test_rotation_loss__MAX","fire_pose_net_g - epoch/test_rotation_loss","fire_pose_net_g - epoch/test_rotation_loss__MIN","fire_pose_net_g - epoch/test_rotation_loss__MAX","chess_pose_net_g - epoch/test_rotation_loss","chess_pose_net_g - epoch/test_rotation_loss__MIN","chess_pose_net_g - epoch/test_rotation_loss__MAX"
"23","0.013723273921641521","0.013723273921641521","0.013723273921641521","0.023321718617808074","0.023321718617808074","0.023321718617808074","0.05757643360993825","0.05757643360993825","0.05757643360993825","0.014536159433191642","0.014536159433191642","0.014536159433191642","0.039345743833109736","0.039345743833109736","0.039345743833109736","0.01832387482863851","0.01832387482863851","0.01832387482863851"
"24","0.013702933007152751","0.013702933007152751","0.013702933007152751","0.023179464296845254","0.023179464296845254","0.023179464296845254","0.057521641574567184","0.057521641574567184","0.057521641574567184","0.014518153853714466","0.014518153853714466","0.014518153853714466","0.03927463748550508","0.03927463748550508","0.03927463748550508","0.01828235104039777","0.01828235104039777","0.01828235104039777"
"25","0.013685940124560148","0.013685940124560148","0.013685940124560148","0.023041243439365644","0.023041243439365644","0.023041243439365644","0.05746475874911994","0.05746475874911994","0.05746475874911994","0.01449934861739166","0.01449934861739166","0.01449934861739166","0.03919685991422739","0.03919685991422739","0.03919685991422739","0.018239737866679206","0.018239737866679206","0.018239737866679206"
"26","0.013669335312442854","0.013669335312442854","0.013669335312442854","0.022899168863659725","0.022899168863659725","0.022899168863659725","0.05740404679090716","0.05740404679090716","0.05740404679090716","0.014480648445896804","0.014480648445896804","0.014480648445896804","0.03911781088390853","0.03911781088390853","0.03911781088390853","0.018198088931967504","0.018198088931967504","0.018198088931967504"
"27","0.013653301532031037","0.013653301532031037","0.013653301532031037","0.022748697789211292","0.022748697789211292","0.022748697789211292","0.05734393710736185","0.05734393710736185","0.05734393710736185","0.014461874874541536","0.014461874874541536","0.014461874874541536","0.039037173133692704","0.039037173133692704","0.039037173133692704","0.018153936369344592","0.018153936369344592","0.018153936369344592"
"28","0.013637355135870166","0.013637355135870166","0.013637355135870166","0.022590659820707515","0.022590659820707515","0.022590659820707515","0.05728204039041884","0.05728204039041884","0.05728204039041884","0.014443337335251272","0.014443337335251272","0.014443337335251272","0.03896107820037287","0.03896107820037287","0.03896107820037287","0.018109074502717704","0.018109074502717704","0.018109074502717704"
"29","0.013623952530906536","0.013623952530906536","0.013623952530906536","0.022439544685767032","0.022439544685767032","0.022439544685767032","0.05722263944335282","0.05722263944335282","0.05722263944335282","0.014424170076381415","0.014424170076381415","0.014424170076381415","0.03888028423534706","0.03888028423534706","0.03888028423534706","0.018065310912788846","0.018065310912788846","0.018065310912788846"
"30","0.013610193360364065","0.013610193360364065","0.013610193360364065","0.02228722197469324","0.02228722197469324","0.02228722197469324","0.0571580501855351","0.0571580501855351","0.0571580501855351","0.014406106201931834","0.014406106201931834","0.014406106201931834","0.0387984361150302","0.0387984361150302","0.0387984361150302","0.018021893658442423","0.018021893658442423","0.018021893658442423"
"31","0.013591586306574754","0.013591586306574754","0.013591586306574754","0.02212496780703077","0.02212496780703077","0.02212496780703077","0.05709818727336824","0.05709818727336824","0.05709818727336824","0.01438912347657606","0.01438912347657606","0.01438912347657606","0.038720957352779806","0.038720957352779806","0.038720957352779806","0.017977564537432045","0.017977564537432045","0.017977564537432045"
"32","0.01356481395487208","0.01356481395487208","0.01356481395487208","0.02196007656311849","0.02196007656311849","0.02196007656311849","0.057034030061913654","0.057034030061913654","0.057034030061913654","0.01437171787256375","0.01437171787256375","0.01437171787256375","0.03863473064848222","0.03863473064848222","0.03863473064848222","0.017931727779796347","0.017931727779796347","0.017931727779796347"
"33","0.013542802742449567","0.013542802742449567","0.013542802742449567","0.021787619552924298","0.021787619552924298","0.021787619552924298","0.0569679097388871","0.0569679097388871","0.0569679097388871","0.014355552091728896","0.014355552091728896","0.014355552091728896","0.03854093636618927","0.03854093636618927","0.03854093636618927","0.01788902818225324","0.01788902818225324","0.01788902818225324"
"34","0.013522145702154376","0.013522145702154376","0.013522145702154376","0.02161185012664646","0.02161185012664646","0.02161185012664646","0.056894580280641094","0.056894580280641094","0.056894580280641094","0.014339779678266495","0.014339779678266495","0.014339779678266495","0.03845168664702214","0.03845168664702214","0.03845168664702214","0.017844067158875987","0.017844067158875987","0.017844067158875987"
"35","0.01350547188485507","0.01350547188485507","0.01350547188485507","0.02144284480891656","0.02144284480891656","0.02144284480891656","0.056820865953341126","0.056820865953341126","0.056820865953341126","0.01432261714944616","0.01432261714944616","0.01432261714944616","0.03836517597665079","0.03836517597665079","0.03836517597665079","0.017799908586312085","0.017799908586312085","0.017799908586312085"
"36","0.013483930175425485","0.013483930175425485","0.013483930175425485","0.02127543433016399","0.02127543433016399","0.02127543433016399","0.05674817302497104","0.05674817302497104","0.05674817302497104","0.014304732641903684","0.014304732641903684","0.014304732641903684","0.038277803410892375","0.038277803410892375","0.038277803410892375","0.017751900217263028","0.017751900217263028","0.017751900217263028"
"37","0.013463841387419961","0.013463841387419961","0.013463841387419961","0.021108934975927696","0.021108934975927696","0.021108934975927696","0.056672362523386255","0.056672362523386255","0.056672362523386255","0.01428627735003829","0.01428627735003829","0.01428627735003829","0.03818368862266652","0.03818368862266652","0.03818368862266652","0.017701178789138794","0.017701178789138794","0.017701178789138794"
"38","0.01344349117425736","0.01344349117425736","0.01344349117425736","0.020921910014294554","0.020921910014294554","0.020921910014294554","0.05658918630797416","0.05658918630797416","0.05658918630797416","0.01426815110608004","0.01426815110608004","0.01426815110608004","0.03809624386485666","0.03809624386485666","0.03809624386485666","0.01765090831031557","0.01765090831031557","0.01765090831031557"
"39","0.013419917464489117","0.013419917464489117","0.013419917464489117","0.020756144338520244","0.020756144338520244","0.020756144338520244","0.05650634638732299","0.05650634638732299","0.05650634638732299","0.014249466446926817","0.014249466446926817","0.014249466446926817","0.03798826248385012","0.03798826248385012","0.03798826248385012","0.017602412786800414","0.017602412786800414","0.017602412786800414"
"40","0.013404264260316268","0.013404264260316268","0.013404264260316268","0.02054912582389079","0.02054912582389079","0.02054912582389079","0.05642604123568162","0.05642604123568162","0.05642604123568162","0.014233714086003602","0.014233714086003602","0.014233714086003602","0.03788853382866364","0.03788853382866364","0.03788853382866364","0.017549712036270648","0.017549712036270648","0.017549712036270648"
